City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Pleasanton,US,2022-10-13 00:36:06,37.6624,-121.8747,79.12,63,0,11.5
278,Kieta,PG,2022-10-13 00:36:07,-6.2167,155.6333,85.17,64,100,4.83
279,Methoni,GR,2022-10-13 00:36:07,36.8197,21.7049,66.22,76,6,4.23
280,Coquimbo,CL,2022-10-13 00:36:08,-29.9533,-71.3436,56.93,82,0,9.22
281,Tuy Hoa,VN,2022-10-13 00:36:08,13.0833,109.3,75.83,91,99,10.49
282,Opole Lubelskie,PL,2022-10-13 00:36:09,51.1478,21.969,43.36,76,0,3.69
283,Sitka,US,2022-10-13 00:36:09,57.0531,-135.33,57.09,88,100,17.27
284,Kloulklubed,PW,2022-10-13 00:36:10,7.0419,134.2556,82.9,79,100,19.26
285,Beloha,MG,2022-10-13 00:36:10,-25.1667,45.05,67.41,84,0,3.38
286,Kaeo,NZ,2022-10-13 00:36:10,-35.1,173.7833,61.83,63,100,8.19
287,Acarau,BR,2022-10-13 00:32:17,-2.8856,-40.12,79.18,81,16,18.61
288,Luanda,AO,2022-10-13 00:36:11,-8.8368,13.2343,75.2,83,75,5.75
289,Mogadishu,SO,2022-10-13 00:36:12,2.0371,45.3438,76.73,86,5,15.95
290,Goure,NE,2022-10-13 00:36:12,13.9835,10.2704,84.47,24,43,7.34
291,Ciudad Bolivar,VE,2022-10-13 00:36:12,8.1222,-63.5497,78.85,80,100,10.04
292,Rawatsar,IN,2022-10-13 00:36:13,29.2833,74.3833,74.73,52,0,3.53
